stuId	tag	university	major	majorCategory
4UUqgRUCXm	住宅・建設,商社,IT,不動産,ソフトウェア,農林・水産,官公庁,人材・教育,ホテル・レジャー	大阪府立柴島高等学校	総合学科	その他
Ma3qiMyNwv		日本大学	経済学部経済学科	文系
ppCoxawtmF		日本大学	藝術学部演劇学科	その他
HbgU9nZYVE		産業能率大学	経営学部 マーケティング学科	文系
ltUdMfwMB0		創価大学	法学部法律学科	文系
YeUu8RXPsc		東洋大学	経営学部マーケティング学科	文系
Kv68VtROvT		日本大学	法学部政治経済学科	文系
P5oCEuaaHA		帝京平成大学	現代ライフ学部経営マネージメント学科	文系
MfCKCQnkvk		東京海洋大学	水産専攻科	理系
Pj5WvHNylD	IT,コンサルティング,人材・教育	城西大学	現代政策学部・社会経済システム学科	文系
imNDq5mHJY		立命館大学	産業社会学部人間福祉専攻	文系
HrXuyxfhp2		帝京平成大学	現代ライフ学部経営マネージメント学科	文系
sziScKQJAY		昭和女子大学	人間文化学部英語コミュニケーション学科	文系
7dDZ5bjedZ		昭和女子大学	人間文化学部英語コミュニケーション学科	文系
Vhiaald3qD		昭和女子大学	人間文化学部 英語コミュニケーション学科	文系
SR4l7RVjAo		昭和女子大学	生活科学部 環境デザイン学科	理系
as8ezgP4Pf		昭和女子大学	人間文化学部英語コミュニケーション学科	文系
3lGewe6sKc		昭和女子大学	人間社会学部心理学科	文系
GjU5F7UaLH		昭和女子大学	人間文化学部英語コミュニケーション学科	文系
f1569fLv5x		東京経済大学	コミュニケーション学部コミュニケーション	文系
hBVkfRBSsR		昭和女子大学	グローバルビジネス	文系
Deivrtt7nE		東京経済大学た	コミュニケーション学部	文系
2IAEUdGZtl		立教大学	法学部政治学科	文系
ntFxiUnLN7		慶應義塾大学	文学部人文社会学科	文系
SUBv4YheIl		日本タイア	体育学部社会体育学科	文系
ax9wDssMn3		専門学校	エンジニア	理系
4OHKNN2GVj		慶應義塾大学	経済学部	文系
5hDclda5u5		東北大学	経済学部経営学科	文系
mbFzLKKdry		明治学院大学大学院	法と経営学研究科  法と経営学専攻	文系
CAKWCB7xEO		中央大学	商学部会計学科	文系
PyxLRjUEVp	IT,コンサルティング,広告	明治学院大学	心理学部心理学科	文系
PeBA28Sp2o		東洋大学	経済学部経済学科	文系
UVjflUgSLm		中央大学	商学部会計学科	文系
kVacnZNGOB		東京都市大学	環境学部環境マネジメント学科	その他
4tzgioBkgH		同志社大学	社会学部社会福祉学科	文系
m6n8eZ9DlW		専修大学	法学部法律学科	文系
2BBNSzCJKe		日本女子大学	史学科	文系
R4rOF3jQEU		國學院大学	経済学部経済ネットワーキング学科	文系
KyJ0xKjwUU		神奈川大学	法学部法律学科	文系
3oSWKYtvZr	人材・教育	法政大学	文学部日本文学科	文系
iGi1E4ezi0	保険	慶應義塾大学	文学部	文系
1SKFrpYH16		慶應義塾大学	商学部	文系
UTuXDZ0JUK		専修大学	経済学部国際経済学科	文系
M26WJbqtzQ		東洋大学	文学部英米文学科	文系
42QE678MO8		明治大学	経営学部経営学科	文系
d3nk5xC7tO		明治大学	文学部 心理社会学科	文系
18p5zDKBJx		立命館アジア太平洋大学	アジア太平洋学部 アジア太平洋学科	文系
GtanCGXNss		田無高校	全日制	文系
j1kAKBmncU		東京経済大学	経済学部経済学科	文系
ExGFMYWaNF		神奈川大学	経済学部現代ビジネス学科	文系
